categoria,pregunta,respuesta,tag,revisado
Maternidad y emociones,¿Qué hacer si una mamá del grupo cuenta una situación de riesgo?,"Responder con apoyo, no juzgar, recomendar buscar ayuda segura, familia, comisaría/línea de atención o asesoría profesional según el caso.",apoyo;violencia;comunidad,si
Trabajo y maternidad,¿Qué plataformas sirven para buscar trabajo remoto sin mucho inglés?,"Computrabajo, Magneto, Elempleo, LinkedIn, Indeed Colombia, Torre.ai, Workana y SoyFreelancer fueron mencionadas como opciones serias.",trabajo remoto;mamás;plataformas,si
Trabajo y maternidad,¿Qué plataformas sirven si tengo inglés?,"Upwork, Fiverr, FlexJobs, Remote.co, We Work Remotely, Working Nomads, Remotive, Remote Rocketship, Virtual Latinos y HireLatam.",trabajo remoto;inglés;freelance,si
Trabajo y maternidad,¿Qué roles son buenos para empezar con poca experiencia?,"Asistente virtual, data entry, servicio al cliente remoto, ventas por chat, transcripción, community manager básico y soporte administrativo.",trabajo remoto;poca experiencia;asistente virtual,si
Trabajo y maternidad,¿Sirven los cursos para volver al mercado laboral?,"Sí, si son prácticos y de plataformas reconocidas con certificado verificable, como Platzi, Coursera, edX, LinkedIn Learning, Microsoft Learn o Google Skillshop.",cursos;certificados;trabajo,si
Trabajo y maternidad,¿Qué cursos convienen para mamás que quieren volver a trabajar?,"Excel, servicio al cliente, asistencia virtual, Canva, marketing digital, inglés, IA básica, análisis de datos, ventas y herramientas administrativas.",cursos;empleabilidad;mamás,si
Trabajo y maternidad,¿Cómo evitar estafas en trabajos remotos?,"No pagar por entrar, no prestar cuentas bancarias, no recibir paquetes raros, revisar empresa, contrato y canales oficiales.",trabajo remoto;estafas;seguridad,si
Servicios y contactos,¿Qué contactos útiles suelen pedir las mamás?,"Pediatras, ginecólogos, asesoras de lactancia, sueño, terapeutas respiratorias, odontopediatras, fruver, huevos criollos, nanas y servicios de limpieza.",servicios;contactos;recomendados,si
Servicios y contactos,¿Qué debe revisarse antes de contratar una nana?,"Referencias, experiencia con bebés, horarios, funciones, límites, salario, seguridad, cámaras si aplica y periodo de prueba.",nana;cuidadora;contratación,si
Servicios y contactos,¿Qué tener en cuenta con empleada doméstica o apoyo en casa?,"Definir funciones, días, horario, pago, alimentación, permisos, manejo del bebé y reglas de la casa desde el inicio.",empleada;apoyo en casa;organización,si
Servicios y contactos,¿Cómo pedir recomendación de fruver a domicilio?,"Preguntar por contacto, zonas de cobertura, calidad de frutas/verduras, tiempos de entrega y medios de pago.",fruver;domicilio;contacto,si
Servicios y contactos,¿Cómo organizar recomendaciones del grupo?,"Guardar en un directorio con categoría, ciudad, contacto, quién recomienda, comentario, verificación y fecha de actualización.",directorio;recomendados;organización,si
Privacidad y tecnología,¿Qué cuidado tener al subir fotos de bebés a herramientas de IA?,"Revisar configuración de privacidad, evitar subir imágenes sensibles y borrar archivos/conversaciones que no se quieran conservar.",IA;privacidad;fotos bebés,si
Privacidad y tecnología,¿Cómo reducir uso de chats para entrenamiento en ChatGPT?,"Desde configuración y controles de datos se puede desactivar la opción de mejorar el modelo para todos, según disponibilidad de la app.",ChatGPT;privacidad;datos,si
Privacidad y tecnología,¿Cómo borrar archivos subidos a ChatGPT?,"Revisar Biblioteca/Library o almacenamiento, seleccionar el archivo y eliminarlo. Es mejor borrar directamente archivos si se subieron fotos o documentos.",ChatGPT;biblioteca;archivos,si
Privacidad y tecnología,¿Por qué hacer un wiki del grupo?,"Porque muchas respuestas valiosas se pierden en WhatsApp. Un wiki permite encontrar rápido preguntas frecuentes, recomendados y contactos.",wiki;grupo;mamás,si
